,2011,2012,2013,2014,2015,2016
Afghanistan,14.75,15.77000046,16.32999992,16.77000046,17.17000008,17.31999969
Albania,18.87000084,17.28000069,16.87999916,17.73999977,18.67000008,19.37999916
Algeria,30.86000061,30.80999947,30.95999908,30.95999908,30.92000008,30.95000076
American Samoa,0,0,0,0,0,0
Andorra,0,0,0,0,0,0
Angola,7.960000038,7.940000057,7.860000134,7.730000019,7.570000172,7.389999866
Antigua and Barbuda,0,0,0,0,0,0
Argentina,23.96999931,23.65999985,23.95000076,24.15999985,23.65999985,22.87999916
Armenia,16.68000031,17.68000031,17,16.72999954,15.90999985,15.77999973
Aruba,0,0,0,0,0,0
Australia,20.82999992,20.70999908,20.45000076,20.29000092,19.38999939,19.36000061
Austria,26.03000069,26.07999992,25.90999985,25.75,25.76000023,25.55999947
Azerbaijan,14.07999992,14.28999996,14.38000011,14.30000019,14.06000042,14.32999992
"Bahamas, The",15.97000027,15.96000004,15.52000046,15.38000011,14.93999958,14.86999989
Bahrain,35.20999908,34.97000122,35.09999847,35.22999954,35.15999985,35.36000061
Bangladesh,18.07999992,18.55999947,19.02000046,19.45000076,19.95999908,20.45999908
Barbados,18.54999924,18.53000069,18.95999908,19.43000031,19.36000061,19.31999969
Belarus,31.96999931,31.79999924,31.64999962,31.48999977,31.06999969,31.53000069
Belgium,23.22999954,21.76000023,21.70000076,21.38999939,21.43000031,21.26000023
Belize,16.18000031,15.96000004,15.77000046,15.60999966,15.42000008,15.71000004
Benin,18.54999924,18.45999908,18.44000053,18.38999939,18.43000031,18.28000069
Bermuda,0,0,0,0,0,0
Bhutan,9.199999809,9.909999847,10.96000004,10.82999992,9.649999619,9.93999958
Bolivia,20.94000053,20.60000038,19.82999992,20.62999916,22.53000069,20.79000092
Bosnia and Herzegovina,28.88999939,30.36000061,29.81999969,30,30.62999916,31.28000069
Botswana,18.06999969,18.04999924,18.03000069,18.01000023,18.01000023,17.94000053
Brazil,22.30999947,23.02000046,22.95000076,22.88999939,22.17000008,20.88999939
British Virgin Islands,0,0,0,0,0,0
Brunei Darussalam,18.95999908,18.78000069,18.80999947,18.62999916,17.92000008,16.97999954
Bulgaria,31.45999908,31.31999969,30.19000053,30.12000084,29.89999962,29.79000092
Burkina Faso,23.22999954,25.82999992,28.62999916,31.54999924,29.85000038,28.20999908
Burundi,3.130000114,3.25,3.369999886,3.5,3.480000019,3.480000019
Cabo Verde,22.96999931,22.82999992,22.65999985,22.48999977,22.30999947,22.07999992
Cambodia,16.46999931,17.76000023,19.28000069,23.77000046,24.92000008,25.76000023
Cameroon,12.71000004,13.17000008,13.61999989,14.07999992,14.22999954,14.32999992
Canada,20.29000092,20.45999908,20.32999992,20.18000031,19.92000008,19.67000008
Cayman Islands,0,0,0,0,0,0
Central African Republic,7.260000229,7.090000153,6.949999809,6.75,6.559999943,6.460000038
Chad,2.130000114,2.140000105,2.109999895,2.089999914,2.059999943,2.00999999
Channel Islands,28.27000046,27.79000092,27.37999916,27.02000046,26.62000084,26.15999985
Chile,23.37999916,23.82999992,23.87999916,23.48999977,23.28000069,23.01000023
China,29.5,30.29999924,30.10000038,29.89999962,29.18000031,28.79999924
Colombia,20.65999985,20.65999985,19.63999939,19.79000092,19.82999992,19.40999985
Comoros,17.5,17.98999977,18.52000046,19.03000069,19.06999969,19.04999924
"Congo, Dem. Rep.",8.81000042,8.960000038,9.140000343,9.340000153,9.520000458,9.590000153
"Congo, Rep.",23.07999992,22.95999908,22.85000038,22.72999954,22.68000031,22.47999954
Costa Rica,19.25,18.17000008,16.48999977,17.68000031,19.14999962,18.61000061
Cote d'Ivoire,11.31999969,11.52000046,11.81999969,11.97999954,12.10000038,12.26000023
Croatia,27.95000076,27.90999985,27.62999916,26.97999954,26.70999908,26.96999931
Cuba,17.14999962,19.18000031,17.20000076,16.89999962,17.10000038,17.07999992
Curacao,0,0,0,0,0,0
Cyprus,20.89999962,20.17000008,17.55999947,16.52000046,16.22999954,17.04999924
Czech Republic,38.45000076,38.11999893,37.50999832,38.04000092,38.02999878,38.06999969
Denmark,20.04000092,19.77000046,19.63999939,19.37000084,19.42000008,19.04999924
Djibouti,13.13000011,13.14999962,13.18000031,13.25,13.30000019,13.35000038
Dominica,0,0,0,0,0,0
Dominican Republic,18.17000008,18.56999969,17.09000015,17.79000092,18.37000084,19.01000023
Ecuador,17.95000076,17.52000046,19.07999992,19.95999908,19.65999985,18.62999916
"Egypt, Arab Rep.",23.56999969,24.86000061,24.11000061,24.39999962,25.07999992,25.5
El Salvador,21.27000046,20.97999954,20.36000061,20.88999939,22.18000031,21.10000038
Equatorial Guinea,26.14999962,25.45000076,24.72999954,23.87000084,22.79000092,21.81999969
Eritrea,7.78000021,7.699999809,7.619999886,7.579999924,7.489999771,7.429999828
